_TRI_FACILITY_EZ.TRI_FACILITY_ID,V_TRI_FACILITY_EZ.FACILITY_NAME,V_TRI_FACILITY_EZ.STREET_ADDRESS,V_TRI_FACILITY_EZ.CITY_NAME,V_TRI_FACILITY_EZ.COUNTY_NAME,V_TRI_FACILITY_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_FACILITY_EZ.STATE_ABBR,V_TRI_FACILITY_EZ.ZIP_CODE,V_TRI_FACILITY_EZ.REGION,V_TRI_FACILITY_EZ.FAC_CLOSED_IND,V_TRI_FACILITY_EZ.MAIL_NAME,V_TRI_FACILITY_EZ.MAIL_STREET_ADDRESS,V_TRI_FACILITY_EZ.MAIL_CITY,V_TRI_FACILITY_EZ.MAIL_STATE_ABBR,V_TRI_FACILITY_EZ.MAIL_COUNTRY,V_TRI_FACILITY_EZ.MAIL_ZIP_CODE,V_TRI_FACILITY_EZ.ASGN_AGENCY,V_TRI_FACILITY_EZ.ASGN_FEDERAL_IND,V_TRI_FACILITY_EZ.PARENT_CO_DB_NUM,V_TRI_FACILITY_EZ.PARENT_CO_NAME,V_TRI_FACILITY_EZ.STANDARDIZED_PARENT_COMPANY,V_TRI_FACILITY_EZ.ASGN_PARTIAL_IND,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FACILITY_EZ.REGISTRY_ID,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE_EXT,V_TRI_FACILITY_EZ.LATITUDE,V_TRI_FACILITY_EZ.LONGITUDE,V_TRI_FACILITY_EZ.REF_POINT_DESC,V_TRI_FACILITY_EZ.REF_POINT_CODE,V_TRI_FACILITY_EZ.COLLECT_DESC,V_TRI_FACILITY_EZ.COLLECT_MTH_CODE,V_TRI_FACILITY_EZ.ACCURACY_VALUE,V_TRI_FACILITY_EZ.ACCURACY_SCORE,V_TRI_FACILITY_EZ.HDATUM_DESC,V_TRI_FACILITY_EZ.SCALE,V_TRI_FACILITY_EZ.SOURCE_DESC,V_TRI_FACILITY_EZ.SOURCE_CODE,V_TRI_FACILITY_EZ.CONVEYOR,V_TRI_FACILITY_EZ.BIA_CODE,V_TRI_FACILITY_EZ.TRIBE
60622CHCGT1555N,CHICAGO ETCHING CORP,1555 SHEFFIELD AVE,CHICAGO,COOK,17031,IL,60622,5,0,CHICAGO ETCHING CORP,1555 SHEFFIELD AVE,CHICAGO,IL,,60622,,C,NA,NORTH BROOK MANAGEMENT,,0,RICHARD P. GOLDEN,3126421630,,1.10002E+11,,41.91009,-87.65311,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60620NTNLC601W8,NATIONAL CASEIN CO,601 W 80TH ST,CHICAGO,COOK,17031,IL,60620,5,0,NATIONAL CASEIN CO,601 W 80TH ST,CHICAGO,IL,,60620,,C,NA,No US Parent,,0,ROBERT HAVENS,7738467300,,1.10001E+11,,41.74844,-87.63965,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60612DVTLN200NA,DOVETAIL INDUSTRIES,200 N ARTESIAN,CHICAGO,COOK,17031,IL,606122149,5,0,DOVETAIL INDUSTRIES,200 N ARTESIAN,CHICAGO,IL,,60612-2149,,C,NA,No US Parent,,0,DONALD A BRENNER,3122432110,,1.10001E+11,,41.88475,-87.68776,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60632RCTCL5303S,FOAMEX LP,4630 W 53RD ST,CHICAGO,COOK,17031,IL,60632,5,1,FOAMEX LP,4630 W 53RD ST,CHICAGO,IL,,60632,,C,619971039,FOAMEX LP,,1,LINDA SPELLMON,4014380900,,1.1E+11,,41.796731,-87.739564,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60608PRRMT33SCA,VCNA PRAIRIE LLC - YARD 1033,3300 S CALIFORNIA,CHICAGO,COOK,17031,IL,60608,5,0,VCNA PRAIRIE LLC - YARD 1033,7601 W 79TH ST,BRIDGEVIEW,IL,,60455,,C,25697343,VCNA PRAIRIE LLC,VCNA PRAIRIE LLC,0,CHAD GROFF  VP OPERATIONS,7084580400,CHAD.GROFF@VCIMENTOS.COM,1.1001E+11,,41.833397,-87.697061,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,5,5,NAD83,1000,,17,EIS,,
60617RPBLC11610,REPUBLIC TECHS INTL CHICAGO PLANT,"11610 S AVE ""O""",CHICAGO,COOK,17031,IL,60617,5,0,REPUBLIC TECHS INTL CHICAGO PLANT,"11610 S AVE ""O""",CHICAGO,IL,,60617,,C,85296783,REPUBLIC TECHS INTL,,0,J. A. WILLOUGHBY,3306703007,,1.1E+11,,41.686386,-87.539877,PLANT ENTRANCE (GENERAL),2,ADDRESS MATCHING-HOUSE NUMBER,1,150,150,NAD83,100000,,80,COMMERCIAL VENDOR,,
60636MRCNN6017S,AMERICAN NATIONAL CAN CO,6017 S WESTERN AVE,CHICAGO,COOK,17031,IL,60636,5,0,AMERICAN NATIONAL CAN CO,8770 W. BRYN MAWR AVE.,CHICAGO,IL,,60631,,C,5105366,AMERICAN NATIONAL CAN CO,,0,CAROL CONSTANTINE,3123993786,,1.10002E+11,,41.78462,-87.68378,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60608HKRMR1359W,H KRAMER & CO,1339 W 21ST ST,CHICAGO,COOK,17031,IL,60608,5,0,H KRAMER & CO,1339 W 21ST ST,CHICAGO,IL,,60608,,C,,No US Parent,NA,0,HOWARD CHAPMAN,3122266600,CHAPMANH@HKRAMER.COM,1.10018E+11,,41.853643,-87.659943,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60622WHSLS401NO,SALISBURY BY HONEYWELL,401 N MORGAN ST,CHICAGO,COOK,17031,IL,60622,5,1,SALISBURY BY HONEYWELL,101 E CROSSROADS PKWY  SUITE A,BOLINGBROOK,IL,,60440,,C,139691877,HONEYWELL INTERNATIONAL INC,,0,JOE ANICICH,6303433700,JOE.ANICICH@HONEYWELL.COM,1.1E+11,,41.8894,-87.6517,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60608ZTCMT14W32,AZTEC MATERIAL SERVICE CO,1400 W 32ND ST YARD 62,CHICAGO,COOK,17031,IL,60608,5,0,PRAIRIE MATERIAL SALES INC,7601 W 79TH ST,BRIDGEVIEW,IL,,60455,,C,25697343,PRAIRIE MATERIAL SALES INC,,0,NEIL DERYNCK,7089128531,,1.10001E+11,,41.836324,-87.661558,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,5,5,NAD83,12000,,17,EIS,,
60645BLLHW6800N,BELL & HOWELL CO DMPC,6800 N MCCORMICK RD,CHICAGO,COOK,17031,IL,60645,5,0,BELL & HOWELL CO DMPC,6800 N MCCORMICK RD,CHICAGO,IL,,60645,,C,5069141,BELL & HOWELL CO INC,,0,R. S. MATTHEWS,7086757600,,1.10002E+11,,42.005,-87.71164,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60623BSTFD2816S,UNILEVER BESTFOODS,2816 S KILBOURN AVE,CHICAGO,COOK,17031,IL,60623,5,0,UNILEVER BESTFOODS,2816 S KILBOURN AVE,CHICAGO,IL,,60623,,C,43614007,UNILEVER BESTFOODS,,0,RENEE J. PLAZA,7732475800,,1.10009E+11,5247,41.840321,-87.737682,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,5,5,NAD83,1000,,17,EIS,,
60619VRSNC1355E,A FINKL & SONS CO DBA FINKL STEEL - CHICAGO,1355 E 93RD ST,CHICAGO,COOK,17031,IL,60619,5,0,A FINKL & SONS CO DBA FINKL STEEL - CHICAGO,1355 E. 93RD ST.,CHICAGO,IL,,60619,,C,965560852,SCHMOLZ BICKENBACH USA HOLDING INC,SCHMOLZ BICKENBACH USA HOLDING INC,0,RAY OSTROWSKI,7739752635,ROSTROWSKI@FINKL.COM,1.10031E+11,,41.72854,-87.59164,POINT WHERE SUBSTANCE IS RELEASED,106,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60616PNLPR2600S,PANEL PROCESSING OF ILLINOIS  INC,2600 S EMERALD AVE,CHICAGO,COOK,17031,IL,60616,5,0,PANEL PROCESSING OF ILLINOIS  INC,2600 S EMERALD AVE,CHICAGO,IL,,60616,,C,54777891,PANEL PROCESSING INC,,0,RICHARD POKORNY,3128420330,,1.10002E+11,,41.84521,-87.64523,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60638ZTCCR5005S,AZTECA FOODS INC,5005 S NAGLE AVE,CHICAGO,COOK,17031,IL,60638,5,0,AZTECA FOODS INC,5005 S NAGLE AVE,CHICAGO,IL,,60638,,C,NA,AZTECA FOODS INC,,0,JAMES DECOSTE,7085636600,,1.10018E+11,,41.800731,-87.782385,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60608DLRLL2512W,ROTADYNE ROLL GROUP CHICAGO,2512 W 24TH ST,CHICAGO,COOK,17031,IL,60608,5,0,ROTADYNE ROLL GROUP CHICAGO,2512 W 24TH ST,CHICAGO,IL,,60608,,C,64398712,ROTATION DYNAMICS CORP,,0,LEN KRUIZENGA,7732475600,,1.10002E+11,,41.848615,-87.688817,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60647VNNSS2501N,VIENNA SAUSAGE MFG. CO.,2501 N DAMEN,CHICAGO,COOK,17031,IL,606472101,5,0,VIENNA SAUSAGE MFG. CO.,2501 N DAMEN,CHICAGO,IL,,60647-2101,,C,5105226,VIENNA BEEF LTD,,0,CHARLES JURKOVIC,7732787800,,1.1E+11,,41.92749,-87.6781,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60632SNCLR4101S,FLINT INK CORP,4101 S PULASKI,CHICAGO,COOK,17031,IL,60632,5,0,FLINT INK CORP.,33105 SCHOOLCREST RD.,LIVONIA,MI,,48150,,C,5355854,FLINT INK CORP,,0,ROBERT FAREJ,3128473700,,1.10001E+11,,41.81805,-87.72394,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60622TRVXX1315N,TRU VUE,1315 N NORTHBRANCH ST,CHICAGO,COOK,17031,IL,60622,5,1,TRU VUE,9400 W. 55TH ST.,MC COOK,IL,,60525,,C,1962042,APOGEE ENTS INC,,0,RICK BOWALD,7084855080,,1.1E+11,,41.904884,-87.656495,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,,82,FRS-GEOCODE,,
60617SSSTH79THS,USS SOUTH WORKS,79TH ST & BRANDON AVE,CHICAGO,COOK,17031,IL,60617,5,0,USS SOUTH WORKS,79TH ST & BRANDON AVE,CHICAGO,IL,,60617,,C,3926268,USX CORP,,0,THOMAS FERRALL,4124336899,,1.10001E+11,,41.738959,-87.530648,UNKNOWN,1,UNKNOWN,27,150,99999999,NAD83,,,,FRS-TRIS,,
60608MPRHR1537S,EMPIRE HARD CHROME INC,1537 S WOOD ST,CHICAGO,COOK,17031,IL,60608,5,0,EMPIRE HARD CHROME INC,1615 S KOSTNER AVE,CHICAGO,IL,,60623,,C,NA,EMPIRE HARD CHROME INC,EMPIRE HARD CHROME INC,0,STEVE WALLIN,7737623156,STEVE@EMPIREHARDCHROME.COM,1.10001E+11,,41.860362,-87.670224,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60632KNTLF4532S,KENTILE OPERATING CO LP,4532 S KOLIN AVE,CHICAGO,COOK,17031,IL,60632,5,0,KENTILE OPERATING CO LP,4532 S KOLIN AVE,CHICAGO,IL,,60632,,C,NA,No US Parent,,0,ROBERT BOUCK,7738439955,,1.1E+11,,41.81003,-87.73244,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60633SPRYL1701E,PPG INDUSTRIES INC,1701 E 122-ND ST,CHICAGO,COOK,17031,IL,60633,5,0,PPG INDUSTRIES INC,125 COLFAX STREET,SPRINGDALE,PA,,15144,,C,NA,PPG INDUSTRIES INC,PPG INDUSTRIES INC,0,JOSEPH FRANK,4129803792,JOSEPHFRANK@PPG.COM,1.1E+11,,41.672341,-87.581236,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60623MRTNT1645S,ROHM & HAAS CHEMICALS LLC,1645 S KILBOURN AVE,CHICAGO,COOK,17031,IL,60623,5,1,ROHM & HAAS CHEMICALS LLC,1645 S KILBOURN AVE,CHICAGO,IL,,60623,,C,1381581,THE DOW CHEMICAL CO,THE DOW CHEMICAL CO,0,GREG KUHN,8154232648,GGKUHN@DOW.COM,1.1E+11,,41.85769,-87.73636,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
6062WVCNPR95SUT,VCNA PRAIRIE LLC - YARD 1005,9050 SOUTH GREEN STREET,CHICAGO,COOK,17031,IL,60620,5,0,VCNA PRAIRIE LLC - YARD 1005,7601 W. 79TH STREET,BRIDGEVIEW,IL,,60455,,C,25697343,VCNA PRAIRIE INC.,VCNA PRAIRIE INC,0,CHAD M. GROFF,7084580400,CHAD.GROFF@VCIMENTOS.COM,1.10041E+11,,41.729078,-87.644905,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,5,5,NAD83,1000,,17,EIS,,
60647JNSNP22352,JENSEN PLATING WORKS INC,2235 W WABANSIA AVE,CHICAGO,COOK,17031,IL,60647,5,1,JENSEN PLATING WORKS INC.,3158 S KOLIN AVE.,CHICAGO,IL,,60623,,C,NA,No US Parent,,0,TOM JENSEN,7732527733,,1.10002E+11,,41.912611,-87.682602,PLANT ENTRANCE (GENERAL),2,ADDRESS MATCHING-HOUSE NUMBER,1,150,150,NAD83,100000,,80,COMMERCIAL VENDOR,,
60619CNFLD50EAS,SELECT CANFIELD  ENTERPRISES LLC,50 E 89TH PL,CHICAGO,COOK,17031,IL,606196607,5,0,SELECT CANFIELD  ENTERPRISES LLC,50 E 89TH PL,CHICAGO,IL,,60619-6607,,C,NA,No US Parent,,0,WILLIAM BLUEMER,7734837000,,1.10001E+11,,41.731863,-87.621993,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60620CHCGF7531S,CHICAGO FIRE BRICK CO,7531 S ASHLAND AVE,CHICAGO,COOK,17031,IL,606204246,5,0,CHICAGO FIRE BRICK CO,7531 S ASHLAND AVE,CHICAGO,IL,,60620-4246,,C,102971900,NATIONAL REFRACTORIES & MINERALS - LIVERMORE,,0,NASH CONTRERAS,7738466500,,1.1E+11,,41.757259,-87.663594,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60609WRCPC3617A,WM WRIGLEY JR CO WRICO PACKAGING DIV,3617 S ASHLAND AVE,CHICAGO,COOK,17031,IL,60609,5,0,WM WRIGLEY JR CO WRICO PACKAGING DIV,3617 S ASHLAND AVE,CHICAGO,IL,,60609,,C,1326198,WM WRIGLEY JR CO,,0,RICHARD VALHA,7735239190,,1.10001E+11,,41.827913,-87.664332,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60618HFRDY3232N,HU-FRIEDY MFG CO LLC,3232 N ROCKWELL ST,CHICAGO,COOK,17031,IL,60618,5,0,HU-FRIEDY MFG CO LLC,3232 N ROCKWELL ST,CHICAGO,IL,,60618,,C,,No US Parent,NA,0,WAYNE SACHS,7738685639,WSACHS@HU-FRIEDY.COM,1.1E+11,,41.940312,-87.691556,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60623RLVNS3426S,R LAVIN & SONS INC,3426 S KEDZIE AVE,CHICAGO,COOK,17031,IL,60623,5,0,R LAVIN & SONS INC,3426 S KEDZIE AVE,CHICAGO,IL,,60623,,C,NA,No US Parent,,0,STUART ROSENTHAL,7086894300,,1.10001E+11,,41.83242,-87.70466,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60629LNGCC36W59,LANG ICE CO,3600 W 59TH ST,CHICAGO,COOK,17031,IL,60629,5,0,LANG ICE CO,3600 W 59TH ST,CHICAGO,IL,,60629,,C,,No US Parent,NA,0,ANDY LANG,7737355000,ANDY@LANGICE.COM,1.10018E+11,,41.786281,-87.714267,PLANT ENTRANCE (GENERAL),2,ADDRESS MATCHING-HOUSE NUMBER,1,25,30,NAD83,,,,FRS,,
60632LMCST3421W,L & M CAST STONE PRODS,3421 W 48TH PL,CHICAGO,COOK,17031,IL,60632,5,0,L & M CAST STONE PRODS,3421 W 48TH PL,CHICAGO,IL,,60632,,C,NA,No US Parent,,0,ROBERT MC CARTHY,7735266676,,1.1E+11,,41.80562,-87.7097,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60632MCNTY4851S,MCINTYRE GROUP LTD,4851 S ST LOUIS AVE,CHICAGO,COOK,17031,IL,60632,5,1,MCINTYRE GROUP LTD.,1000 GOVERNORS HWY.,UNIVERSITY PARK,IL,,60466,,C,NA,No US Parent,,0,JAMES A. KVETON,7085346200,,1.10001E+11,,41.805105,-87.711225,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60609HRRSN3757S,HARRIS INDUSTRIES  (DBA HARRIS LAMPS),3757 SOUTH ASHLAND AVE,CHICAGO,COOK,17031,IL,60609,5,0,HARRIS INDUSTRIES  (DBA HARRIS LAMPS),3757 SOUTH ASHLAND AVE,CHICAGO,IL,,60609,,C,NA,No US Parent,,0,RICHARD MUSIL,7732477500,,1.1E+11,,41.825666,-87.665304,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60624CHCGT4459W,CHICAGO TURNRITE CO INC,4459 W LAKE ST,CHICAGO,COOK,17031,IL,60624,5,0,CHICAGO TURNRITE CO INC,4459 W LAKE ST,CHICAGO,IL,,60624,,C,,No US Parent,NA,0,RAYMOND F CARLSON JR,7736268404,RAY_CARLSON@TURNRITE.COM,1.10001E+11,,41.88585,-87.73743,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60651LLDMT4528W,ALLIED METAL CO,4528 W DIVISION ST,CHICAGO,COOK,17031,IL,60651,5,0,ALLIED METAL CO,4528 W DIVISION ST,CHICAGO,IL,,60651,,C,NA,ALLIED METAL CO,ALLIED METAL CO,0,GILBERT ESCUDERO,7737720700,,1.1E+11,,41.90343,-87.73949,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
